source	target	count(*)
15332616	12273252	1
523136078	273684907	1
9257862	784912	1
326110193	23978155	1
1277851596	636923	1
14491482	9688342	1
312169321	214121628	1
14366170	14151652	1
22872048	6981492	1
173544311	498742495	1
314468797	987681	1
123661324	188048136	1
14507319	14231571	1
219549738	15383958	1
318393568	273684907	1
134056924	611823	1
16063991	784912	1
15060567	25338609	1
138132205	755859	1
28006594	83271185	1
41807647	40584312	1
854101200	864499236	1
19963403	784912	1
248042665	229256967	1
115873647	59498896	1
831568202	20542450	1
10855252	1197619002	1
316747777	611823	1
837014366	78453	1
16573230	9334052	1
25703613	14231571	1
397660648	188048136	1
19189955	15027362	1
229318075	611823	1
10087062	784912	1
1305845418	5777542	1
343304868	16452299	1
315884762	188048136	1
301166597	188048136	1
632300551	188048136	1
120903066	9047312	1
81148484	36183	1
125958345	273684907	1
14227194	755859	1
120272162	90043357	1
452999360	16711478	1
291791128	611823	1
50669128	188048136	1
383272115	83271185	1
84374787	611823	1
343304868	4641021	1
1563001	784912	1
159111086	273684907	1
22539767	15383958	1
266569830	348429830	1
153816002	83271185	1
15159694	273684907	1
755033	12047992	1
14940197	40584312	1
15070958	273684907	1
975266815	188048136	1
304677736	188048136	1
14967638	18131313	1
21399337	11405762	1
16606794	51813392	1
135184430	979811	1
15267898	78453	1
554953062	188048136	1
33333639	12273252	1
314468797	722394841	1
38259027	188048136	1
51690790	188048136	1
42878501	188048136	1
93186089	979811	1
445098267	188048136	1
183999396	83271185	1
527684859	861604183	1
22406530	327550001	1
7981252	6312822	1
152984395	275686563	1
7439852	16318564	1
174680402	11405762	1
343304868	14539324	1
25703613	23978155	1
15060567	18209839	1
538699837	23978155	1
153985504	17618643	1
240441406	14865941	1
273601904	188048136	1
94150809	2373551	1
143590068	188048136	1
166421665	273684907	1
197732316	145201486	1
65277316	188048136	1
14142709	273684907	1
400297555	145201486	1
118957313	15830701	1
44217930	14231571	1
237484157	188048136	1
19233144	14231571	1
272665577	16318564	1
22344572	15416541	1
14438627	275686563	1
343304868	18131006	1
310418828	275686563	1
14173057	273684907	1
137269917	127978917	1
962437808	51813392	1
198554681	6312822	1
47469552	14151652	1
12290352	13945572	1
991824781	23978155	1
233634391	188048136	1
160042385	111150813	1
464316467	188048136	1
361570691	127978917	1
990218059	188048136	1
755653	14231571	1
310475146	15027362	1
363654629	229256967	1
819148	784912	1
22913041	78453	1
461959827	90043357	3
24878404	19312115	1
2684451	6312822	1
12128432	83271185	1
20129541	83271185	1
983519574	188048136	1
251804630	78453	1
723829807	7635182	1
363835653	37019708	1
329058163	188048136	1
18254098	972651	1
459504843	14231571	1
284381316	23255992	1
16606794	979811	1
17808270	14231571	1
276667497	363594221	1
456512678	1214346157	1
22903017	273684907	1
229869974	188048136	1
434630810	15958614	1
44957981	275686563	1
15270123	21253062	1
186200830	14231571	1
1275570596	222540906	1
47118255	15662791	1
34590891	112243365	1
462535668	188048136	1
16376247	6187302	1
86456840	273684907	1
19558701	250775442	1
16364081	979811	1
18903	14231571	1
14703894	275686563	1
14355425	13077772	1
331946329	14410190	1
1393159866	37019708	1
224460280	14347790	1
74857162	538699837	1
14879113	14865941	1
414011688	1475774791	1
295927073	12984782	1
14913623	979811	2
297301561	312846503	1
7331272	273684907	1
30345218	188048136	1
21145876	78453	1
37159806	979811	1
25819408	273684907	1
14375372	19551655	1
14463726	36183	1
218645400	14097734	1
348429830	6312822	1
232086298	18657572	1
26148542	188048136	1
844832245	323066578	1
133063781	972651	1
14658540	15267898	1
270595368	145201486	1
60845592	15661911	1
549388375	145201486	1
358380820	41463992	1
1336610791	15830701	2
207209450	17618643	1
1336384574	1446309715	1
480026074	14231571	1
228163660	23978155	2
801123	1622441	1
82929455	25338609	1
461959827	23255992	1
15535975	817386	1
1043407046	188048136	1
105028207	273684907	1
60333958	273684907	1
875	19225408	1
229256967	762386762	1
1050111	78453	1
157167637	188048136	1
11537152	13945572	1
18104218	14231571	1
14453634	60935781	1
60935781	14246782	1
1255770169	222540906	1
14539324	15681726	1
304641272	37019708	1
53651554	275686563	1
446578218	188048136	1
14186490	6312822	1
343948068	188048136	1
15753421	14231571	1
357023592	275686563	1
96723697	1475774791	1
14148326	9688342	1
464284446	9688342	2
803074	348429830	1
98764832	611823	1
317295041	198732594	1
34590891	15383958	1
15136631	11405762	1
15251758	16318564	1
84634445	979811	1
16292903	12273252	1
102851047	65283878	1
45824208	16318564	1
243153112	78453	1
786807306	14231571	1
198732594	318393568	1
5777542	83271185	1
4546251	5834352	1
27321286	6312822	1
222540906	972651	1
1329312133	37019708	1
139443874	972651	1
39909935	78453	1
926200171	127978917	1
219161803	83271185	1
89191785	16318564	1
63096088	51813392	1
19558701	14752818	1
14156676	14231571	1
21766340	15440049	1
32582073	14231571	1
312169321	19558701	1
16439625	15086405	1
32809351	14246782	1
477135052	2172	1
983588460	112237162	1
188481905	273684907	1
65052669	127978917	1
259008700	188048136	1
136496646	14410190	1
151608363	223028814	1
14080534	348429830	1
18903	6312822	1
15447922	14231571	1
606083249	23978155	1
41986913	277568858	1
172649970	348429830	1
261012410	14151652	1
1490869105	784912	1
164571470	15383958	1
43436327	755859	1
16817783	14151652	1
894351378	208238711	1
416151259	979811	1
163603476	145201486	1
14979258	273684907	1
397743864	1214346157	1
17469576	15027362	1
324229844	275686563	1
5903472	11405762	1
446603187	445098267	1
14771735	51813392	1
229981602	273684907	1
502772796	275686563	1
161278129	273684907	1
13904812	319856565	1
1025256734	14410190	1
22425873	51439690	1
991953505	9688342	1
8076052	273684907	1
38216080	22852745	1
256371640	1066793484	1
325290454	188048136	1
7352612	273684907	1
631769934	188048136	1
601912487	96723697	1
87441900	215625004	1
68953	14231571	1
17394386	658643	1
1163437148	15086405	1
188767463	83271185	1
17901515	23978155	1
39247962	5834352	1
17871578	273684907	1
14780562	784912	1
65484762	188048136	1
53651554	15086405	1
123329223	14231571	1
713387798	1465776169	1
1093945130	979811	1
11405762	784912	1
173751248	14231571	1
71487339	979811	1
26753313	2087371	1
363329873	222540906	1
91687333	12273252	1
523136078	10194392	1
824465358	979811	1
2373551	14231571	1
63778068	273684907	1
181346176	10194392	1
2899671	979811	1
674883	273684907	1
470757557	188048136	1
27458668	583375286	1
62446680	784912	1
25791837	6312822	1
19558701	854101200	2
233713764	188048136	1
14577594	389218310	1
308727455	15403842	1
288883687	188048136	1
17343329	6981492	1
14202167	14166065	1
146969405	14231571	1
33445852	188048136	1
9771682	14231571	1
297546385	14231571	1
121853232	273684907	1
256287519	15383958	1
238701218	14231571	1
87324756	83271185	1
36640786	188048136	1
1671651	636923	1
19558701	9688342	1
666293	36183	1
230575046	19312115	2
15416541	6981492	1
1068751	14940197	1
140251220	168169935	1
15606719	83271185	1
166928221	78453	1
138677394	117117530	1
262142028	15830701	1
120761095	979811	1
95993247	188048136	1
18553922	51439690	1
17530043	19312115	1
29232120	11405762	1
19714244	439637245	1
35647737	6312822	1
139438341	18657572	1
423119615	109433050	1
12984782	273684907	1
1237757929	83271185	1
39663127	784912	1
17501542	17618643	1
85744909	14151652	1
19182150	23978155	1
18602194	273684907	1
342720495	198732594	1
61912304	15661911	1
12039262	83271185	1
145201486	83271185	1
187344972	289246577	1
15881468	36183	1
1594471	784912	1
312169321	9688342	1
74743665	882763400	1
44119449	1066793484	1
174531542	13945572	1
24018294	273684907	1
15760192	979811	1
312472901	979811	1
60563975	9688342	2
864695923	188048136	1
434304211	5834352	1
267657925	83271185	1
72991740	215625004	3
359444801	979811	2
142847073	15086405	1
33255743	78453	1
47796564	74857162	1
36640786	126484603	1
492277704	188048136	1
42125339	277568858	1
41845771	83271185	1
36102055	188048136	1
64581135	277568858	1
18131313	273684907	1
224875510	23978155	1
61449346	2242231	1
42710143	14231571	1
16644648	15066271	1
15060567	815897	1
1468574148	273684907	1
202233697	6312822	1
55874022	6312822	1
14344677	127978917	1
75943023	1214346157	1
20593735	20542450	1
18334191	23978155	1
316122981	17912724	1
15714461	83271185	1
394116937	14231571	1
46705779	1197619002	1
23365521	14231571	1
273304026	145201486	1
5674912	127978917	1
63039904	14231571	1
454929825	37019708	1
21925455	23978155	1
35014791	784912	1
17107857	273684907	1
538699837	428413732	1
177203540	198732594	1
436238504	348429830	1
297301561	273684907	1
9916982	127978917	1
17448440	14372486	1
96514380	2242231	1
87889391	83271185	1
19714244	323066578	1
18903	784912	1
230646183	188048136	1
22857234	273684907	1
132235493	9688342	1
163168757	188048136	1
60935781	1197619002	1
18086399	14231571	1
180784287	979811	1
15190179	22253	1
750272622	222540906	1
960093474	979811	1
8108292	14255185	1
848649260	18657572	1
89469736	348429830	1
243181626	188048136	1
1153276321	37019708	1
165503636	348429830	1
19691153	755859	1
759059713	313496814	1
6985162	6312822	1
15407039	14347790	1
63636463	784912	1
24878404	275686563	1
151974122	188048136	1
529797621	37019708	1
340488336	37019708	1
15251758	273684907	1
49196301	979811	1
226111859	15395727	1
161790494	16711478	1
34590891	15681726	1
17822376	16318564	1
723829807	37019708	13
94120278	784912	1
38841221	15395727	1
15523081	78453	1
20593735	275686563	1
278677889	6981492	1
310475146	15395727	1
41038927	188048136	1
44178251	15403842	1
19714244	274562077	1
22599121	348429830	1
34623	784912	1
14202167	23978155	1
60845592	15395727	2
78369183	78453	1
71793136	215625004	1
262955958	14231571	1
1255770169	23978155	1
9613162	14635769	1
156918516	16318564	1
24459371	19312115	1
61328073	979811	1
1340618112	277568858	1
704106920	755859	2
61268181	37019708	1
233679538	14255185	1
17607629	5834352	1
18518062	12273252	1
15791237	281348032	1
410355309	15086405	1
749911052	707843401	1
296522258	83271185	1
45848957	14231571	1
32160290	273684907	1
14478288	636923	1
441436814	277568858	1
107530760	9688342	1
53298959	23978155	1
429705464	145201486	1
1511034536	15086405	1
17530043	784912	1
15060567	755859	1
762386762	229256967	1
22143168	188048136	1
12313592	784912	1
14344677	755859	1
16606794	146525713	1
585037278	16452299	1
14166065	755859	1
81685060	5834352	1
12132212	15661911	1
1028624108	188048136	1
9820812	273684907	1
732889176	14231571	1
19160084	348429830	1
266360972	188048136	1
1160892398	8072642	1
44923393	219535433	1
17692697	83271185	1
2426	6981492	1
8358552	273684907	1
217565608	188048136	1
241588187	275686563	1
723829807	9688342	20
16944165	83271185	1
318393568	636923	1
60935781	33418013	1
14188163	83271185	1
928895239	275686563	2
461959827	277568858	4
284381316	15661911	1
9525052	78453	1
40654760	6312822	1
25985929	2087371	1
61507582	15958614	1
15951166	498742495	1
372312092	83271185	1
383999864	78453	1
289209680	273684907	1
8543882	784912	1
231668911	188048136	1
13904812	273684907	1
105899128	12273252	1
903	784912	1
391977399	188048136	1
217046870	6312822	1
19558701	312846503	1
104360769	188048136	1
14417508	23978155	1
12609722	455274701	1
84403090	273684907	1
35203319	19225408	1
213536326	188048136	1
17804002	23978155	1
408805756	146615750	1
1622441	18865450	1
178082406	470027626	1
790249	13945572	1
64594560	51813392	1
105765996	6312822	1
30040492	585485094	2
310895151	118280725	1
226624013	127978917	1
132115164	188048136	1
28457873	273684907	1
49675047	15936679	1
356881173	9688342	1
140743543	9688342	1
30006068	275686563	1
20427743	755859	2
44516889	168258795	1
16290599	6312822	1
272074463	188048136	1
14546264	722394841	1
33362526	23978155	1
17934912	23978155	1
1163437148	15403842	1
14003912	12273252	1
14527403	23978155	1
19664443	17524072	1
251368744	188048136	1
122665484	70977717	1
158838996	188048136	1
210629704	23978155	1
210632409	14231571	1
18785068	6312822	1
96875688	14231571	1
19287300	14231571	1
230575046	755859	1
527684859	188048136	1
659533	273684907	1
749911052	18657572	1
45973645	188048136	1
86878729	554523661	1
224786268	83271185	1
68953	13945572	1
177260278	273684907	1
91762941	14231571	1
1429584931	69814867	1
81553103	273684907	1
305891516	188048136	1
979061	16318564	1
14626987	755859	1
1160892398	35673	1
762948470	16662889	1
84379745	98523794	1
383999864	83271185	1
241316444	23978155	1
22642033	6187302	1
325354387	199052842	1
219161803	78453	1
175442000	15086405	1
638563	23978155	1
86315276	273684907	1
35089815	83271185	1
7251502	14231571	1
91762941	1197619002	1
267580165	188048136	1
19873956	36183	1
310475146	16662889	1
199052842	188048136	1
344903387	14231571	1
228163660	1197619002	1
15151306	16318564	1
310475146	9688342	2
540270484	5834352	1
736010604	315498416	1
455673282	14231571	1
62231590	14231571	1
446243293	18865450	1
16450870	273684907	1
59977051	37019708	1
14453634	15958614	1
263267483	611823	2
104639821	18865450	1
73221331	273684907	1
722394841	14231571	1
465689262	480026074	1
541691138	188048136	1
247558455	188048136	1
112187977	127978917	1
1063692055	188048136	1
134517532	14231571	1
20904050	6312822	1
297301561	432660080	1
349271329	15086405	1
25327702	972651	1
17248576	36183	1
1162036044	784912	1
37243143	188048136	1
185590430	15830701	1
277613279	987681	1
267361990	9688342	1
583375286	16662889	1
19910730	979811	1
15440049	273684907	1
5532312	36183	1
370136412	6312822	1
722249142	16452299	1
85757587	16662889	1
14445315	16662889	1
94045596	273684907	1
14894908	23978155	1
69568551	22852745	1
313987301	16662889	1
14226811	784912	3
635639811	538699837	1
160331257	636923	1
45228561	14231571	1
13594482	784912	1
9613162	348429830	1
14890530	6312822	1
6214082	17284240	1
14302336	14725574	1
8889522	784912	1
190387355	348429830	1
15576787	83271185	1
36281844	273684907	1
19714244	14155103	1
194429030	972651	1
134517532	6312822	1
17589722	14231571	1
198732594	78173122	1
152614702	19225408	1
128452839	188048136	1
26738929	188048136	1
15427914	15383958	1
161723960	1066793484	1
211856840	188048136	1
207194690	188048136	1
146969405	2242231	1
464284446	18657572	1
17583030	83271185	1
16985330	689183	1
6681532	15416541	1
88099803	9688342	1
444188295	188048136	1
1690351	784912	1
15212851	273684907	1
47118255	972651	1
14148326	784912	1
30027730	111150813	1
1237757929	6312822	1
122665484	140898620	1
14226811	636923	1
932740352	188048136	1
228163660	277568858	1
40654760	273684907	1
1511034536	9688342	1
333056842	188048136	1
14061743	14166065	1
331946329	315498416	2
417848635	78453	1
543567707	1475774791	1
14453698	23978155	1
5735232	979811	1
894351378	1197619002	1
15209240	23978155	1
859688444	611823	1
14979258	17589722	1
150242475	16452299	1
104730935	5834352	1
23085508	784912	1
172280737	188048136	1
604216762	14227194	1
66793711	188048136	1
5777542	273684907	1
14438627	348429830	1
44178251	9688342	1
74857162	16318564	1
72991740	15395727	1
158400245	188048136	1
18316576	83271185	1
22459900	8658242	1
409588638	188048136	1
132595720	15086405	1
100453107	348429830	1
628733579	9688342	1
120829122	972651	1
63778068	10194392	1
18969786	6187302	1
454257735	188048136	1
1671651	14231571	1
35203319	8060842	1
53563332	14231571	1
25696755	15416541	1
50018875	15383958	1
41843452	784912	1
68625068	16369316	1
54834230	188048136	1
19558701	755859	1
327550001	882763400	3
15267898	19312115	1
451108446	755859	1
18785068	23978155	2
15174093	83271185	1
17343329	755859	1
122665484	83271185	1
14355425	299659914	1
174680402	6187302	1
14209427	14231571	1
18722530	1066793484	1
193988028	15958614	1
219161803	18131006	1
15270123	14231571	1
49455665	12273252	1
17085074	755859	1
11215482	15760192	1
14833020	784912	1
344903387	755859	1
454929825	15403842	1
1306513860	9688342	1
56700953	126484603	1
15270123	11406792	1
19189955	784912	1
68953	312846503	1
49063831	188048136	1
14566237	83271185	1
7237922	15440049	1
37856725	37019708	1
141992165	32809351	1
227586466	14231571	1
53596339	972651	1
110120003	25338609	2
72272917	215625004	1
213240408	348429830	1
433665701	247578863	1
26814332	979811	1
239002651	1475774791	1
2257251	14231571	1
15022336	78453	1
6135062	16711478	1
543804827	37019708	1
312169321	51439690	1
14375372	17618643	1
310895151	41463992	1
38815589	83271185	1
270441488	9688342	1
378175954	979811	1
501363623	312663377	1
258122334	188048136	1
1693831	83271185	1
583375286	14347790	1
312472901	198732594	1
406766014	583375286	1
24923263	23978155	1
19558701	15440049	1
138669695	83271185	1
26319524	188048136	1
750469231	188048136	1
49639429	273684907	1
8108292	784912	1
15545124	17618643	1
211020755	188048136	1
121233033	23978155	1
17712725	979811	1
14438627	6312822	1
272275518	14231571	1
336362668	445098267	1
15060567	36183	1
2212361	83271185	1
14101591	15416541	1
274571186	37019708	1
934052329	979811	1
104119980	14231571	1
379101904	145201486	1
235762270	188048136	1
23189284	14231571	1
240048041	188048136	1
177260278	2087371	1
314407214	188048136	1
72073778	83271185	1
7237922	215625004	1
6861272	83271185	1
146323126	755859	1
12504	273684907	1
698193	5777542	1
2684451	755859	1
4258171	83271185	1
40632780	83271185	1
42370081	1475774791	1
86053702	134604076	1
19007006	78453	1
55353320	508194417	1
43925636	784912	1
156476556	188048136	1
5716352	611823	1
14940197	658643	1
376516089	13945572	1
356683	273684907	1
24923263	139658109	1
257776736	188048136	1
1119703950	784912	1
38699286	12273252	1
14060640	6312822	1
14177252	14231571	1
1162036044	25338609	1
11482102	14231571	1
585410654	275686563	1
1160892398	6981492	1
135551329	348429830	1
28463821	979811	1
416050185	14231571	1
14358900	273684907	1
19745636	755859	1
98523794	6187302	1
302606532	188048136	1
46425431	6981492	1
19558701	84379745	1
14797245	222540906	1
52885446	1197619002	1
3909641	78453	1
22844737	9688342	1
134517532	755859	2
56318993	37019708	1
451108446	19558701	1
180683462	4641021	1
19182150	1197619002	1
51648435	15440049	1
22253	2426	1
371487390	145201486	1
82929455	9688342	1
30006068	13945572	1
14577594	14231571	1
134517532	2087371	2
760369974	19895809	1
163581384	817386	1
1265932333	83271185	1
17104996	6312822	1
12609722	20904050	1
98785047	14231571	1
470027626	18657572	1
5026991	6187302	1
15684784	12984782	1
617902392	366493005	1
117737185	12273252	1
98785047	250775442	1
160139074	979811	1
477093739	188048136	1
85913717	273684907	1
72766861	222540906	1
151195482	188048136	1
51313532	636923	1
78569517	16662889	1
86433165	784912	1
701819767	18657572	1
738633	15027362	1
181090931	4641021	1
134517532	636923	1
25805010	83271185	1
299390896	972651	1
240614530	817386	1
20463794	348429830	1
168169935	83271185	1
28628958	273684907	1
159111086	22852745	1
1511034536	755859	1
198559051	722394841	1
61890650	348429830	1
7006222	14231571	1
297739773	188048136	1
315927670	348429830	1
713941724	127978917	1
423826570	979811	1
77181379	348429830	1
390452836	215625004	1
153648441	286803371	1
416693298	188048136	1
1255770169	554523661	1
1306513860	25338609	3
180921810	188048136	1
8390682	8950192	1
221421793	15830701	1
749911052	214121628	1
166034884	611823	1
407584050	6312822	1
465689262	784912	1
546672478	229256967	1
18370717	972651	1
1027515500	215625004	1
7284312	14882065	1
265742115	188048136	1
198554681	14231571	1
1255770169	14752818	1
16444535	14231571	1
14217197	784912	1
760369974	83271185	1
9259892	83271185	1
11405762	6187302	1
219601755	545531694	1
254525352	5777542	1
287086915	200512535	1
270232970	19225408	1
229318075	21253062	1
461959827	19088161	2
22922008	755859	1
235820985	37019708	1
385771776	611823	1
185177057	15830701	1
14186490	23978155	1
125558830	14231571	1
330631038	188048136	1
15654208	979811	1
241588187	1286041	1
26644148	83271185	1
749911052	69442868	1
42574992	188048136	1
261012410	182936819	1
147696114	18865450	1
355844237	19312115	1
226624013	51813392	1
18863829	14372486	1
74746707	636923	1
232941492	188048136	1
137023801	188048136	1
17376430	15581876	1
416521258	188048136	1
540711381	815897	1
1146133807	9688342	4
288295734	83271185	1
17351544	13945572	1
310418828	18131006	1
736010604	313496814	1
824465358	12273252	1
44921950	784912	1
266213391	784912	1
116197245	23978155	2
405100143	18518062	1
772041690	12273252	1
19691153	15936679	1
54202326	784912	1
15270123	5026991	1
63636463	14231571	1
5777542	18865450	1
859016581	188048136	1
37119973	14231571	1
15251758	83271185	1
102119907	273684907	1
15197938	7284312	1
202233697	273684907	1
39129794	83271185	1
1306958010	611823	1
57022012	145201486	1
29522365	188048136	1
488048054	188048136	2
301023812	83271185	1
15848802	11405762	1
432938298	15830701	1
239664138	188048136	1
76759476	14151652	1
14783420	83271185	1
49203256	12273252	1
167061355	611823	1
13945572	10780612	1
327191415	188048136	1
725953	755859	1
53930095	273684907	1
263007493	1006521	1
36713	771681	1
74039432	23978155	1
68055926	15958614	1
32973382	273684907	1
152143772	188048136	1
132595720	15830701	1
14397549	273684907	1
364197480	6312822	1
134878011	348429830	1
66619528	273684907	1
34050619	19225408	1
432199984	273684907	1
15270123	23255992	1
14186490	585485094	1
112187977	380097946	1
9213202	979811	1
928895239	20542450	1
6911532	14940197	1
408805756	15403842	1
133116597	18657572	1
7638992	6312822	1
90337535	784912	1
235769432	188048136	1
86053702	23978155	1
35383	784912	1
93382672	14231571	2
12235032	636923	1
19182150	348429830	1
156192843	16452299	1
14743926	784912	1
296911867	188048136	1
14148326	312846503	1
63096088	428413732	1
15270123	16711478	1
109498162	37019708	1
22974708	23978155	1
250736463	188048136	1
2257251	18804306	1
261792036	188048136	1
318393568	64887385	1
450611024	300574666	1
7284312	273684907	1
4546251	6312822	1
723829807	103466096	1
99198220	12273252	1
286715690	78453	1
93156626	1475774791	1
18794961	14231571	1
245892723	188048136	1
1160892398	83271185	1
267361990	23978155	1
1089691	14231571	1
36711602	784912	1
240441406	273684907	1
14829605	755859	1
74857162	84379745	1
18291974	6981492	1
33818674	784912	1
241732378	188048136	1
33429714	882763400	2
59498896	658643	1
115709777	14231571	1
30006068	273684907	1
63096088	78453	1
38897348	755859	1
15951166	221453192	1
233576841	188048136	1
